,Visit,Hosting,Dining,Bar,Cinema,Recreation,Vacation,Shopping
count,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0,1278.0
mean,1.051866143589084,0.8242062726434712,0.16649730958046607,0.1170525435719339,0.09765579780050164,0.16021609106694965,0.08500332282890645,0.13598087765558345
std,1.6029328945861252,1.4573478003649578,0.9970195749138896,1.0618293328449302,1.0166979403016791,1.0159227168664027,0.9934349996454804,1.0396381048664063
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.16232876712328767,0.06575342465753424,0.0013698630136986301,0.0,0.0,0.0,0.0,0.0
50%,0.5452054794520548,0.34041095890410955,0.01780821917808219,0.0,0.0,0.0013698630136986301,0.0013698630136986301,0.00821917808219178
75%,1.3613013698630136,1.0835616438356164,0.07123287671232877,0.009589041095890411,0.010958904109589041,0.0410958904109589,0.008219178082191782,0.049315068493150684
max,20.0,20.0,20.0,20.104109589041094,20.0,20.0,20.0,20.0
